CMS Z gamma -> mu mu gamma Candidates with 258 / nb
28 July 2010, veverka@caltech.edu

7 FSR photons
********************************
   run *       lumi *      event
********************************
136100 *         43 *   12147077
140331 *        261 *  202802546
140383 *        477 *  428106665
140059 *        138 *  120481780
140126 *        196 *  401672288
140124 *       1483 * 1312967051
139100 *         52 *   46221215
********************************

11 "loose" phtons
********************************
   run *       lumi *      event
********************************
140362 *        151 *  129423668
140124 *        309 *  273884948
140124 *        506 *  447494538
140124 *        766 *  680919612
140070 *          9 *   16977263
140124 *       1654 * 1462956243
140124 *       1456 * 1288830288
140059 *       1127 *  964316377
139974 *         33 *   35886860
138751 *         23 *    4303492
139407 *       1039 * 1144260709
********************************

11 "fake" photons
********************************
   run *       lumi *      event
********************************
140387 *         11 *    8845424
140387 *         49 *   41881961
140383 *        443 *  397294903
135149 *       1345 *  125426133
139786 *         84 *   91303693
140124 *       1189 * 1053936675
140059 *        741 *  636289682
139364 *         46 *   49869020
138744 *         21 *   12035751
139370 *         37 *   40020835
139365 *         90 *   85535580
********************************
