|    Run | Delivered LS | Delivered(/μb) |         Selected LS | Recorded(/μb) |
----------------------------------------------------------------------------------
| 138564 |           18 |          68.719 |               [1-4] |         11.204 |
| 138571 |           22 |          46.684 |              [1-13] |         26.759 |
| 138572 |          238 |         273.779 |             [1-213] |        272.416 |
| 138737 |           87 |        1062.442 |              [1-66] |        767.354 |
| 138738 |           93 |        1079.233 |              [1-10] |         86.558 |
| 138739 |          185 |        1993.627 |              [1-13] |        132.251 |
| 138742 |           53 |         533.720 |      [1-20] [22-38] |        361.627 |
| 138744 |           38 |         372.212 |              [1-24] |        233.018 |
| 138745 |           16 |         155.718 |              [1-10] |         88.785 |
| 138746 |          144 |        1360.576 |             [1-129] |       1176.818 |
| 138747 |          378 |        2677.990 |     [1-71] [73-131] |       1174.804 |
| 138750 |          725 |        3118.104 |     [1-46] [49-208] |       3026.026 |
|        |              |                 | [210-623] [626-709] |                |
| 138751 |          582 |        1691.484 |   [1-110] [112-147] |        570.407 |
| 138919 |          167 |        2010.404 |            [62-150] |       1311.004 |
| 138920 |           73 |        1283.094 |              [1-55] |        949.144 |
| 138921 |          202 |        2733.022 |   [1-165] [168-181] |       2570.935 |
|        |              |                 |           [183-191] |                |
| 138923 |           16 |         157.162 |               [1-2] |         12.797 |
| 138924 |           85 |         813.559 |              [1-62] |        578.114 |
| 138937 |           46 |         430.204 |              [1-26] |        237.791 |
| 138939 |           35 |         322.037 |              [1-26] |        229.118 |
| 139020 |          927 |        1582.355 | [227-316] [319-617] |       1447.514 |
| 139096 |          279 |        1235.051 | [256-267] [193-210] |        654.006 |
|        |              |                 | [212-233] [235-236] |                |
|        |              |                 | [239-239] [242-255] |                |
| 139098 |          200 |        2223.974 |     [1-92] [94-121] |       1881.688 |
|        |              |                 | [123-160] [162-179] |                |
| 139100 |          315 |        3296.709 |      [1-13] [15-15] |       3055.961 |
|        |              |                 |    [17-19] [21-102] |                |
|        |              |                 | [104-104] [106-205] |                |
|        |              |                 |           [207-307] |                |
| 139103 |          488 |        1835.784 |   [7-154] [157-414] |       1638.852 |
|        |              |                 | [416-416] [418-449] |                |
| 139195 |          198 |        1564.837 |      [9-14] [16-29] |       1010.214 |
|        |              |                 |     [31-81] [83-92] |                |
| 139239 |          554 |        2413.856 | [164-214] [217-217] |       1766.975 |
|        |              |                 | [219-222] [224-225] |                |
|        |              |                 |           [227-270] |                |
| 139347 |          525 |        2274.560 | [512-515] [214-357] |       1684.863 |
|        |              |                 |           [359-511] |                |
| 139356 |          212 |        1465.819 | [192-192] [175-186] |        175.955 |
|        |              |                 |           [188-191] |                |
| 139362 |           33 |         417.031 |              [1-18] |        210.645 |
| 139363 |           14 |         179.476 |              [1-10] |          5.138 |
| 139364 |           88 |        1113.748 |      [1-48] [51-72] |        851.982 |
| 139365 |          258 |        2957.981 |       [1-9] [12-14] |       2617.515 |
|        |              |                 |     [16-82] [84-84] |                |
|        |              |                 |  [86-112] [114-166] |                |
|        |              |                 | [168-179] [181-250] |                |
| 139368 |          173 |        1825.525 |     [1-34] [36-100] |       1656.848 |
|        |              |                 | [102-150] [152-166] |                |
| 139370 |          836 |        7887.679 |   [1-175] [177-254] |       6067.240 |
|        |              |                 | [257-445] [447-468] |                |
|        |              |                 | [472-504] [506-562] |                |
|        |              |                 | [564-581] [583-619] |                |
|        |              |                 |           [622-645] |                |
| 139372 |          201 |        1535.876 |    [20-46] [48-173] |       1289.352 |
|        |              |                 |           [175-194] |                |
| 139375 |          551 |        1965.940 |              [1-47] |        313.129 |

=== Total : 
| Delivered LS | Delivered (/μb) | Selected LS | Recorded(/μb) |
------------------------------------------------------------------
|         9055 |        57959.971 |        5178 |      40144.808 |

