# Same as v2 except for the masses w/o vertexing in the selection (w/ vertexing in this dump). 202 selected events.
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa   mass[mm]    mmgMass  mmgDeltaR  kRatio(mm
140124  1483  1312967051  25.478313  12.497221  37.265907  -1.280279  -1.314736  0.0431511  0.7277898  0.1070899  -2.557531  52.572979  92.623237  0.6215047  0.9546209
140383   477   428106665  17.947158  12.782776  33.581661  -0.386233  -0.532409  1.3492503  2.5558142  2.6321795  -0.084444  60.551864  90.854270  0.1649554  1.0132258
140399    83    39591478  14.587746  26.920610  45.806217  -1.302516  -1.264480  -2.086142  -0.568041  -0.470521  2.6585719  76.090606  94.237281  0.1046554  0.8170469
141959     7      458008  16.582714  16.994745  54.157039  -0.113140  -0.139769  0.5285584  -0.136742  -0.106583  -3.115006  63.995288  89.791381  0.0402882  1.0636955
142130   417   286509133  17.388200  33.378692  52.361736  0.1140160  0.1052701  0.1378756  2.1935341  2.1472632  -2.068147  71.830383  88.173225  0.0470791  1.2067604
142528   550   355290813  32.753562  20.645483  37.520877  1.9192280  1.8995003  1.9550783  0.9014357  0.9554239  -2.458013  55.442543  89.406677  0.0576977  1.0653751
142933   231   153757331  21.508127  28.215282  42.240181  -1.196589  -1.194296  -1.593993  0.7023554  0.6801842  -2.462209  70.243026  93.143600  0.0221079  0.9036382
143004   252    72841925  14.005682  30.548240  44.912956  -1.826178  -1.806093  -1.269515  -2.842736  -2.849421  0.4075479   76.95047  92.987525  0.0213291  0.8783616
143321    11    10052297  11.963940  31.941057  44.570484  -0.399716  0.0850429  0.1943797  -2.364643  -2.096339  1.0382117  75.597335  90.134880  0.5540442  1.0792257
143322    71    65220913  22.618955  19.294891  40.358203  0.1476939  0.2318942  0.9942496  -2.559951  -2.621445  0.5948799  59.735115  88.942894  0.1042202  1.0931110
143322   143   132210247  32.418380  10.314228  50.642776  0.2703634  0.2344818  0.0447415  -1.963640  -1.931913  0.9779341  45.575054  93.066238  0.0478664  0.9474279
