# Selection as described in the Egamma talk from 20 Jan 2010 confId=121624
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa  twoBodyMa  treeBodyM  mmgDeltaR  kRatio
136100    43    12147077  39.052307  17.514017  30.228794  -1.185806  -1.193139  -0.203534  -0.174962  -0.183442  2.1564083  48.536655  87.041046  0.0113746  1.1415684 
139100    52    46221215  7.4047255  25.937322  35.356819  0.1514329  0.1184251  1.6917043  -0.503067  -0.448811  2.6837701  80.287948  90.796234  0.0634928  1.0396162 
140059   138   120481780  15.116093  16.573972  28.244932  -0.771526  -0.793220  1.5151505  3.0313050  2.9925279  1.6641184  67.266861  92.739059  0.0443091  0.9299864 
140124  1483  1312967051  25.478313  12.497221  37.265907  -1.280279  -1.314736  0.0431511  0.7277898  0.1070899  -2.557531  52.572979  92.623237  0.6215047  0.9546209 
140126   196   401672288  25.518211  22.274992  36.047588  -1.242380  -1.292981  -1.773589  1.9641549  1.8583010  -1.285125  58.413970  85.843589  0.1172565  1.2390885 
140160    21    17041433  8.3107061  29.506078  36.562366  0.6899566  0.5966346  -0.684504  -0.127003  -0.362313  2.7716534  79.716468  90.779258  0.2532324  1.0393947 
140331   261   202802546  31.096229  10.450017  41.820751  -1.636983  -1.524906  -2.266064  2.2963745  2.2850964  -1.149204  44.272266  86.990463  0.1126563  1.1333684 
140383   477   428106665  17.947158  12.782776  33.581661  -0.386233  -0.532409  1.3492503  2.5558142  2.6321795  -0.084444  60.551864  90.854270  0.1649554  1.0132258 
140399    83    39591478  14.587746  26.920610  45.806217  -1.302516  -1.264480  -2.086142  -0.568041  -0.470521  2.6585719  76.090606  94.237281  0.1046554  0.8170469 
141960    36    23523847  9.9521856  41.028266  36.305511  -1.726598  -1.833041  -1.123308  2.3322825  2.3388896  -1.051535  81.203422  90.372848  0.1066408  1.0940258 
141961    73    44622620  7.0760521  23.179899  72.449623  1.8640109  1.8542184  1.4020093  1.4685294  1.6604379  -1.852077  82.577407  94.809822  0.1922704  0.6895100 
142035   566   217536660  22.138830  17.366008  24.121049  -0.189600  -0.206072  0.9807316  2.0868697  2.0828459  -1.048403  48.308574  72.676528  0.0169805  2.0288794 
142136    25    15392943  14.973925  39.181186  25.181724  -0.234800  -0.261051  0.9841843  0.3905318  0.4016072  -2.528278  74.670249  87.602119  0.0283742  1.3054809 
142191    76    47065901  5.4262819  21.147728  30.743011  -0.123242  0.2225627  -1.880688  0.8918589  1.0825450  -2.322783  81.526580  89.396041  0.3948982  1.2405275 
142303   141    22116065  6.1773114  30.638313   54.97155  0.0047045  0.0116495  0.4373499  -0.759033  -0.701159  2.2008020  83.513336  91.599838  0.0583051  0.9467873 
142419   182   105083883  17.107299  16.543043  35.728172  0.0717421  -0.210130  -1.198012  -2.855264  -2.604162  -0.067911  52.911171  79.774627  0.3774217  1.5474097 
142513    18    16912365  5.7842755  29.998121  60.679111  1.0236554  1.0325644  0.9393166  -0.099836  -0.095702  2.6951494  84.174713  91.897728  0.0097620  0.9043880 
142514    11     8815764  5.1735668  34.740016  46.472412  0.0309918  0.2224494  0.7204728  -1.640696  -1.668535  1.4030441  82.682945  89.010658  0.1933446  1.3610742 
142523   168    47944098  5.8874535  33.399211  38.666545  0.6206763  0.8247926  1.8259674  -1.928285  -2.011046  1.0372281  81.047042  88.654785  0.2201706  1.3528199 
142528   550   355290813  32.753562  20.645483  37.520877  1.9192280  1.8995003  1.9550783  0.9014357  0.9554239  -2.458013  55.442543  89.406677  0.0576977  1.0653751 
142933   231   153757331  21.508127  28.215282  42.240181  -1.196589  -1.194296  -1.593993  0.7023554  0.6801842  -2.462209  70.243026  93.143600  0.0221079  0.9036382 
142953   224   169685804  10.515770  38.848072  32.312965  1.2750679  1.2755388  2.3737177  0.0694146  0.0872053  2.9145498  81.893409  92.377159  0.0177295  0.8804816 
142971    59    56373430  6.1061101  39.634212   36.92519  -1.115531  -1.231833  -0.481540  0.2661120  0.0582697  2.8207912  80.690521  86.265434  0.2380455  1.9384252 
142971   450   410415149  5.1438903  36.410209  50.353340  -1.313794  -1.654102  -1.701846  -1.100345  -1.837936  1.6339217  84.538902  91.115928  0.8124096  1.0113097 
142971  1500  1177238967  19.286968  10.825697  29.642204  1.8446217  1.8046428  0.0312088  0.3248841  0.3416505  -3.092337  50.543415  85.213531  0.0432148  1.2239000 
143004   252    72841925  14.005682  30.548240  44.912956  -1.826178  -1.806093  -1.269515  -2.842736  -2.849421  0.4075479   76.95047  92.987525  0.0213291  0.8783616 
143007   223   176967671  6.7160449  36.761787  47.284973  -0.174353  -0.199010  -0.298008  3.0252189  -2.815196  0.4209052  83.464294  90.548713  0.4434225  1.0941844 
143007   241   190768481  24.793624  27.586114  25.971977  -1.110721  -1.100550  0.4601710  0.5263207  0.5322099  3.0723724  68.900619  95.131050  0.0118239  0.8292346 
143181   138   109317299  8.1323442  30.775821  44.271438  -1.847150  -1.844297  -1.099856  2.8820169  2.8957877  -0.388354  80.225044  90.140953  0.0140955  1.1123442 
143187    36    23835028  19.390445  36.446819  37.260147  -0.662151  -0.941676  -0.521103  -1.194820  -1.121338  1.7129101  74.396934  91.945472  0.2890618  0.9524534 
143320    75    79191939  8.9568538  18.035448  27.382484  2.2140617  2.2103216  0.0414063  1.0057649  0.9783034  -2.126584  72.965820  89.406822  0.0278450  1.1204683 
143321    11    10052297  11.963940  31.941057  44.570484  -0.399716  0.0850429  0.1943797  -2.364643  -2.096339  1.0382117  75.597335  90.134880  0.5540442  1.0792257 
143322    71    65220913  22.618955  19.294891  40.358203  0.1476939  0.2318942  0.9942496  -2.559951  -2.621445  0.5948799  59.735115  88.942894  0.1042202  1.0931110 
143322   143   132210247  32.418380  10.314228  50.642776  0.2703634  0.2344818  0.0447415  -1.963640  -1.931913  0.9779341  45.575054  93.066238  0.0478664  0.9474279 
143323    17    13887192  10.721419  10.671966  33.826797  1.1317651  1.2836397  2.1828947  1.6747643  1.7229881  -1.387565  42.611934  61.391132  0.1592893  3.3277461 
143323   531   446111368  8.3693695  32.302887  30.293609  -0.725704  -1.503546  -1.410732  -0.062794  0.2845057  -2.673862  62.114570  71.593498  0.8518438  3.5165900 
143327     5     3002476  34.273979  21.834938  37.009414  -0.825943  -0.827232  -0.763101  0.6503283  0.6492034  -2.188699  56.155540  90.197395  0.0017222  1.0360505 
143328   200   149838938  7.1544055   16.85112  20.796089  -2.127907  -1.379922  0.9837921  -2.693424  -2.666700  0.2950372  66.744888  90.392883  0.7484883  1.0388334 
143665    27    22995560  7.6910285  36.063526  34.885604  -0.518713  -0.595347  0.5734246  -2.825049  -2.711954  0.6086425  83.286010  91.359733  0.1366922  0.9777151 
143827    20    26411883  10.210684  35.620433  32.763195  1.7236220  1.7226989  0.4534163  -0.959260  -0.939304  2.2247645  81.879425  93.065292  0.0201790  0.8232056 
143833   213   228974894  14.556435  26.797079  44.696476  2.2702436  2.2755169  1.9764423  2.3036849  2.3452677  -0.833835  70.677040  87.684936  0.0414957  1.2326165 
